time(s),p(kPa),Voltage(V)
18.67,0.00,6.02
18.69,0.00,6.06
18.70,0.00,6.09
18.71,0.00,6.11
18.73,0.00,6.00
18.74,0.00,6.02
18.75,0.00,6.02
18.76,0.00,5.90
18.78,0.00,5.90
18.79,0.00,5.89
18.80,0.00,6.00
18.82,0.00,5.98
18.83,0.00,5.95
18.84,0.00,5.92
18.86,0.00,5.77
18.87,0.00,5.85
18.88,0.00,5.80
18.89,0.00,5.75
18.91,0.00,5.82
18.92,0.00,5.75
18.93,0.00,5.68
18.95,0.00,5.61
18.96,0.00,5.65
18.97,0.00,5.57
18.99,0.00,5.48
19.00,0.00,5.51
19.01,0.00,5.54
19.03,0.00,5.55
19.04,0.00,5.45
19.05,0.00,5.46
19.06,0.00,5.46
19.08,0.00,5.46
